mode,component,tp,fp,fn,precision,recall,f1
strict,tables,4,1,1,0.8,0.8,0.8000000000000002
strict,attributes,12,3,3,0.8,0.8,0.8000000000000002
strict,primary_keys,4,1,1,0.8,0.8,0.8000000000000002
strict,foreign_keys,1,2,3,0.3333333333333333,0.25,0.28571428571428575
strict,relationship_tables,0,1,1,0.0,0.0,0.0
strict,specialization_mappings,0,0,0,,,
strict,global,21,8,9,0.7241379310344828,0.7,0.711864406779661
matched,tables,5,0,0,1.0,1.0,1.0
matched,attributes,15,0,0,1.0,1.0,1.0
matched,primary_keys,5,0,0,1.0,1.0,1.0
matched,foreign_keys,3,0,1,1.0,0.75,0.8571428571428571
matched,relationship_tables,1,0,0,1.0,1.0,1.0
matched,specialization_mappings,0,0,0,,,
matched,global,29,0,1,1.0,0.9666666666666667,0.983050847457627
