mode,component,error_type,item
strict,tables,false_positive,ordprod
strict,tables,false_negative,orderproduct
strict,attributes,false_positive,ordprod.orderid
strict,attributes,false_positive,ordprod.productid
strict,attributes,false_positive,ordprod.quantity
strict,attributes,false_negative,orderproduct.orderid
strict,attributes,false_negative,orderproduct.productid
strict,attributes,false_negative,orderproduct.quantity
strict,primary_keys,false_positive,ordprod:orderid+productid
strict,primary_keys,false_negative,orderproduct:orderid+productid
strict,foreign_keys,false_positive,ordprod:orderid->order:orderid
strict,foreign_keys,false_positive,ordprod:productid->product:productid
strict,foreign_keys,false_negative,orderproduct:orderid->order:orderid
strict,foreign_keys,false_negative,orderproduct:productid->product:productid
strict,relationship_tables,false_positive,ordprod
strict,relationship_tables,false_negative,orderproduct
